step,ntoken,cache_len_before,n_new,phase,latency_ms,kv_valid_mib
0,256,0,256,prefill,786.252,7.0
1,257,256,1,decode,55.597,7.027
2,258,257,1,decode,55.366,7.055
3,259,258,1,decode,55.427,7.082
4,260,259,1,decode,55.413,7.109
5,261,260,1,decode,55.381,7.137
6,262,261,1,decode,55.382,7.164
7,263,262,1,decode,55.435,7.191
8,264,263,1,decode,55.362,7.219
9,265,264,1,decode,55.512,7.246
10,266,265,1,decode,55.401,7.273
11,267,266,1,decode,55.309,7.301
12,268,267,1,decode,55.246,7.328
13,269,268,1,decode,55.248,7.355
14,270,269,1,decode,55.24,7.383
15,271,270,1,decode,55.378,7.41
16,272,271,1,decode,55.268,7.438
17,273,272,1,decode,55.25,7.465
18,274,273,1,decode,55.301,7.492
19,275,274,1,decode,55.305,7.52
20,276,275,1,decode,55.303,7.547
21,277,276,1,decode,55.282,7.574
22,278,277,1,decode,55.425,7.602
23,279,278,1,decode,55.395,7.629
24,280,279,1,decode,55.473,7.656
25,281,280,1,decode,55.471,7.684
26,282,281,1,decode,55.366,7.711
27,283,282,1,decode,55.31,7.738
28,284,283,1,decode,55.384,7.766
29,285,284,1,decode,55.335,7.793
30,286,285,1,decode,55.346,7.82
31,287,286,1,decode,55.352,7.848
32,288,287,1,decode,55.304,7.875
33,289,288,1,decode,55.405,7.902
34,290,289,1,decode,55.363,7.93
35,291,290,1,decode,55.354,7.957
36,292,291,1,decode,55.323,7.984
37,293,292,1,decode,55.374,8.012
38,294,293,1,decode,55.346,8.039
39,295,294,1,decode,55.356,8.066
40,296,295,1,decode,55.329,8.094
41,297,296,1,decode,55.375,8.121
42,298,297,1,decode,55.348,8.148
43,299,298,1,decode,55.325,8.176
44,300,299,1,decode,55.462,8.203
45,301,300,1,decode,55.367,8.23
46,302,301,1,decode,55.374,8.258
47,303,302,1,decode,55.447,8.285
48,304,303,1,decode,55.56,8.312
49,305,304,1,decode,55.4,8.34
50,306,305,1,decode,55.438,8.367
51,307,306,1,decode,55.423,8.395
52,308,307,1,decode,55.485,8.422
53,309,308,1,decode,55.403,8.449
54,310,309,1,decode,55.438,8.477
55,311,310,1,decode,55.603,8.504
56,312,311,1,decode,56.877,8.531
57,313,312,1,decode,58.131,8.559
58,314,313,1,decode,55.72,8.586
59,315,314,1,decode,55.508,8.613
60,316,315,1,decode,55.427,8.641
61,317,316,1,decode,55.417,8.668
62,318,317,1,decode,55.441,8.695
63,319,318,1,decode,55.389,8.723
64,320,319,1,decode,55.608,8.75
65,321,320,1,decode,55.449,8.777
66,322,321,1,decode,55.516,8.805
67,323,322,1,decode,55.48,8.832
68,324,323,1,decode,55.51,8.859
69,325,324,1,decode,55.499,8.887
70,326,325,1,decode,55.488,8.914
71,327,326,1,decode,55.436,8.941
72,328,327,1,decode,55.438,8.969
73,329,328,1,decode,55.446,8.996
74,330,329,1,decode,55.469,9.023
75,331,330,1,decode,55.407,9.051
76,332,331,1,decode,55.45,9.078
77,333,332,1,decode,55.488,9.105
78,334,333,1,decode,55.467,9.133
79,335,334,1,decode,56.657,9.16
80,336,335,1,decode,57.084,9.188
81,337,336,1,decode,57.235,9.215
82,338,337,1,decode,56.385,9.242
83,339,338,1,decode,55.647,9.27
84,340,339,1,decode,55.518,9.297
85,341,340,1,decode,55.469,9.324
86,342,341,1,decode,55.445,9.352
87,343,342,1,decode,55.527,9.379
88,344,343,1,decode,55.501,9.406
89,345,344,1,decode,55.438,9.434
90,346,345,1,decode,55.394,9.461
91,347,346,1,decode,55.478,9.488
92,348,347,1,decode,55.527,9.516
93,349,348,1,decode,56.348,9.543
94,350,349,1,decode,56.624,9.57
95,351,350,1,decode,55.884,9.598
96,352,351,1,decode,55.572,9.625
97,353,352,1,decode,55.53,9.652
98,354,353,1,decode,55.524,9.68
99,355,354,1,decode,55.518,9.707
100,356,355,1,decode,55.51,9.734
101,357,356,1,decode,55.444,9.762
102,358,357,1,decode,55.472,9.789
103,359,358,1,decode,55.501,9.816
104,360,359,1,decode,55.418,9.844
105,361,360,1,decode,55.47,9.871
106,362,361,1,decode,55.466,9.898
107,363,362,1,decode,55.556,9.926
108,364,363,1,decode,55.524,9.953
109,365,364,1,decode,55.454,9.98
110,366,365,1,decode,55.492,10.008
111,367,366,1,decode,55.507,10.035
112,368,367,1,decode,55.487,10.062
113,369,368,1,decode,56.279,10.09
114,370,369,1,decode,59.281,10.117
115,371,370,1,decode,57.431,10.145
116,372,371,1,decode,56.847,10.172
117,373,372,1,decode,55.812,10.199
118,374,373,1,decode,55.744,10.227
119,375,374,1,decode,55.983,10.254
120,376,375,1,decode,55.702,10.281
121,377,376,1,decode,55.716,10.309
122,378,377,1,decode,55.696,10.336
123,379,378,1,decode,55.686,10.363
124,380,379,1,decode,55.61,10.391
125,381,380,1,decode,55.564,10.418
126,382,381,1,decode,55.594,10.445
127,383,382,1,decode,56.985,10.473
128,384,383,1,decode,56.906,10.5
